longitude,latitude,value,impf_max_temp
-5.1776547,50.040447,1,1
-5.520136,50.138527,1,1
-5.3524895,50.143494,1,1
-5.1847973,50.148216,1,1
-5.360052,50.25124,1,1
-5.1919837,50.255985,1,1
-5.023871,50.260483,1,1
-3.8460495,50.28517,1,1
-5.1992135,50.363747,1,1
-5.0307217,50.368263,1,1
-4.862188,50.37254,1,1
-4.6936145,50.376568,1,1
-4.525004,50.380352,1,1
-4.018973,50.39024,1,1
-3.8502367,50.393047,1,1
-3.681475,50.39561,1,1
-5.037614,50.476044,1,1
-4.868698,50.48033,1,1
-4.699743,50.484375,1,1
-4.53075,50.488174,1,1
-4.3617215,50.49173,1,1
-4.1926603,50.495037,1,1
-4.023569,50.498104,1,1
-3.8544493,50.50092,1,1
-3.6853037,50.50349,1,1
-3.5161347,50.505817,1,1
-4.8752484,50.588123,1,1
-4.7059083,50.592186,1,1
-4.5365305,50.595997,1,1
-4.367117,50.599567,1,1
-4.1976705,50.602886,1,1
-4.0281935,50.60596,1,1
-3.8586879,50.60879,1,1
-3.689156,50.611374,1,1
-3.5196009,50.61371,1,1
-1.9929308,50.62362,1,1
-4.712112,50.69999,1,1
-4.5423465,50.70382,1,1
-4.3725457,50.707397,1,1
-4.2027116,50.71073,1,1
-4.032846,50.71382,1,1
-3.8629522,50.71666,1,1
-3.6930323,50.71925,1,1
-3.5230882,50.721596,1,1
-3.353123,50.723694,1,1
-2.8431218,50.728497,1,1
-2.6730945,50.729603,1,1
-2.5030577,50.730457,1,1
-2.333014,50.731068,1,1
-2.1629653,50.73143,1,1
-1.9929146,50.731544,1,1
-1.312736,50.72952,1,1
-4.5481987,50.811634,1,1
-4.378008,50.81523,1,1
-4.207783,50.818577,1,1
-4.0375276,50.821674,1,1
-3.867243,50.824528,1,1
-3.696932,50.82713,1,1
-3.526597,50.82948,1,1
-3.3562405,50.831585,1,1
-3.1858644,50.833443,1,1
-3.015472,50.83505,1,1
-2.8450649,50.836407,1,1
-2.674646,50.837517,1,1
-2.5042171,50.83838,1,1
-2.3337815,50.83899,1,1
-2.163341,50.83935,1,1
-1.9928982,50.839466,1,1
-1.8224555,50.839333,1,1
-1.6520153,50.838947,1,1
-1.4815801,50.838314,1,1
-0.7999368,50.833298,1,1
-0.118565544,50.8243,1,1
0.22196989,50.818306,1,1
-4.5540867,50.91945,1,1
-4.3835034,50.923058,1,1
-4.2128863,50.92642,1,1
-4.0422378,50.929527,1,1
-3.87156,50.93239,1,1
-3.700856,50.935,1,1
-3.5301275,50.937363,1,1
-3.3593771,50.939476,1,1
-3.1886075,50.94134,1,1
-3.0178208,50.942955,1,1
-2.8470197,50.944317,1,1
-2.6762066,50.94543,1,1
-2.5053837,50.946297,1,1
-2.3345537,50.94691,1,1
-2.163719,50.947273,1,1
-1.9928818,50.947388,1,1
-1.8220447,50.947254,1,1
-1.6512102,50.94687,1,1
-1.4803807,50.94623,1,1
-1.3095586,50.945347,1,1
-1.1387463,50.944214,1,1
-0.9679463,50.94283,1,1
-0.79716104,50.941193,1,1
-0.6263929,50.939312,1,1
-0.4556443,50.937176,1,1
-0.28491774,50.934795,1,1
-0.1142156,50.93216,1,1
0.056459688,50.92928,1,1
0.2271057,50.926147,1,1
0.39772,50.922768,1,1
0.56830025,50.919136,1,1
-4.560011,51.027264,1,1
-4.389033,51.030884,1,1
-4.218021,51.034256,1,1
-4.046977,51.03738,1,1
-3.875904,51.040253,1,1
-3.7048042,51.042873,1,1
-3.5336797,51.045246,1,1
-3.3625333,51.047367,1,1
-3.1913674,51.049236,1,1
-3.0201845,51.050858,1,1
-2.8489869,51.052223,1,1
-2.677777,51.053345,1,1
-2.5065575,51.05421,1,1
-2.3353307,51.05483,1,1
-2.1640992,51.05519,1,1
-1.9928652,51.05531,1,1
-1.8216314,51.055172,1,1
-1.6504002,51.054787,1,1
-1.4791739,51.054146,1,1
-1.3079551,51.05326,1,1
-1.1367463,51.05212,1,1
-0.96554977,51.05073,1,1
-0.7943681,51.04909,1,1
-0.62320375,51.0472,1,1
-0.4520591,51.045055,1,1
-0.28093663,51.042664,1,1
-0.109838806,51.040024,1,1
0.061231956,51.03713,1,1
0.2322732,51.033985,1,1
0.4032825,51.030594,1,1
0.57425743,51.02695,1,1
0.7451955,51.023056,1,1
0.91609436,51.018913,1,1
-4.2231874,51.142094,1,1
-4.051746,51.14523,1,1
-3.8802748,51.14811,1,1
-3.7087767,51.15074,1,1
-3.5372539,51.153122,1,1
-3.365709,51.155254,1,1
-3.1941442,51.15713,1,1
-3.0225625,51.158756,1,1
-2.850966,51.16013,1,1
-2.679357,51.16125,1,1
-2.5077386,51.162125,1,1
-2.3361125,51.162743,1,1
-2.1644819,51.16311,1,1
-1.9928486,51.163223,1,1
-1.8212155,51.16309,1,1
-1.649585,51.1627,1,1
-1.4779596,51.16206,1,1
-1.3063416,51.161167,1,1
-1.1347338,51.160027,1,1
-0.96313834,51.15863,1,1
-0.7915579,51.156982,1,1
-0.6199949,51.155087,1,1
-0.4484517,51.152935,1,1
-0.2769309,51.15053,1,1
-0.10543494,51.14788,1,1
0.066033736,51.144978,1,1
0.23747265,51.141823,1,1
0.40887937,51.138416,1,1
0.5802514,51.134758,1,1
0.7515863,51.130848,1,1
0.9228817,51.12669,1,1
1.094135,51.12228,1,1
-4.056544,51.253075,1,1
-3.8846724,51.25597,1,1
