haz_type,unit,tot_value,aai_agg,event_id,event_name,event_date,event_frequency,frequency_unit,at_event,eai_exp,exp_lat,exp_lon,exp_crs
max_temp,days,1711,68611.84999999887,1,1,1.0,0.05,1/year,0.0,21.150000000000166,50.040447,-5.1776547,"GEOGCRS[""WGS 84"",ENSEMBLE[""World Geodetic System 1984 ensemble"",MEMBER[""World Geodetic System 1984 (Transit)""],MEMBER[""World Geodetic System 1984 (G730)""],MEMBER[""World Geodetic System 1984 (G873)""],MEMBER[""World Geodetic System 1984 (G1150)""],MEMBER[""World Geodetic System 1984 (G1674)""],MEMBER[""World Geodetic System 1984 (G1762)""],MEMBER[""World Geodetic System 1984 (G2139)""],MEMBER[""World Geodetic System 1984 (G2296)""],ELLIPSOID[""WGS 84"",6378137,298.257223563,LENGTHUNIT[""metre"",1]],ENSEMBLEACCURACY[2.0]],PRIMEM[""Greenwich"",0,ANGLEUNIT[""degree"",0.0174532925199433]],CS[ellipsoidal,2],AXIS[""geodetic latitude (Lat)"",north,ORDER[1],ANGLEUNIT[""degree"",0.0174532925199433]],AXIS[""geodetic longitude (Lon)"",east,ORDER[2],ANGLEUNIT[""degree"",0.0174532925199433]],USAGE[SCOPE[""Horizontal component of 3D system.""],AREA[""World.""],BBOX[-90,-180,90,180]],ID[""EPSG"",4326]]"
,,,,2,2,1.0,0.05,,0.0,19.750000000000146,50.138527,-5.520136,
,,,,3,3,1.0,0.05,,0.0,24.050000000000207,50.143494,-5.3524895,
,,,,4,4,1.0,0.05,,0.0,24.25000000000021,50.148216,-5.1847973,
,,,,5,5,1.0,0.05,,0.0,22.600000000000186,50.25124,-5.360052,
,,,,6,6,1.0,0.05,,0.0,25.200000000000223,50.255985,-5.1919837,
,,,,7,7,1.0,0.05,,0.0,42.04999999999975,50.260483,-5.023871,
,,,,8,8,1.0,0.05,,0.0,51.249999999999226,50.28517,-3.8460495,
,,,,9,9,1.0,0.05,,0.0,23.100000000000193,50.363747,-5.1992135,
,,,,10,10,1.0,0.05,,0.0,35.55000000000012,50.368263,-5.0307217,
,,,,11,11,1.0,0.05,,0.0,34.550000000000175,50.37254,-4.862188,
,,,,12,12,1.0,0.05,,0.0,40.199999999999854,50.376568,-4.6936145,
,,,,13,13,1.0,0.05,,0.0,37.40000000000001,50.380352,-4.525004,
,,,,14,14,1.0,0.05,,0.0,46.29999999999951,50.39024,-4.018973,
,,,,15,15,1.0,0.05,,0.0,47.399999999999444,50.393047,-3.8502367,
,,,,16,16,1.0,0.05,,0.0,58.39999999999882,50.39561,-3.681475,
,,,,17,17,1.0,0.05,,0.0,27.550000000000257,50.476044,-5.037614,
,,,,18,18,1.0,0.05,,0.0,39.3999999999999,50.48033,-4.868698,
,,,,19,19,1.0,0.05,,0.0,37.65,50.484375,-4.699743,
,,,,20,20,1.0,0.05,,0.0,32.20000000000031,50.488174,-4.53075,
,,,,21,21,1.0,0.05,,0.0,42.449999999999726,50.49173,-4.3617215,
,,,,22,22,1.0,0.05,,0.0,51.449999999999214,50.495037,-4.1926603,
,,,,23,23,1.0,0.05,,0.0,27.20000000000025,50.498104,-4.023569,
,,,,24,24,1.0,0.05,,0.0,27.10000000000025,50.50092,-3.8544493,
,,,,25,25,1.0,0.05,,0.0,60.84999999999868,50.50349,-3.6853037,
,,,,26,26,1.0,0.05,,0.0,60.749999999998685,50.505817,-3.5161347,
,,,,27,27,1.0,0.05,,0.0,34.40000000000018,50.588123,-4.8752484,
,,,,28,28,1.0,0.05,,0.0,29.050000000000278,50.592186,-4.7059083,
,,,,29,29,1.0,0.05,,0.0,27.550000000000257,50.595997,-4.5365305,
,,,,30,30,1.0,0.05,,0.0,45.999999999999524,50.599567,-4.367117,
,,,,31,31,1.0,0.05,,0.0,42.59999999999972,50.602886,-4.1976705,
,,,,32,32,1.0,0.05,,0.0,17.95000000000012,50.60596,-4.0281935,
,,,,33,33,1.0,0.05,,0.0,21.900000000000176,50.60879,-3.8586879,
,,,,34,34,1.0,0.05,,0.0,46.4499999999995,50.611374,-3.689156,
